==============================================
        支撑轴力迭代中间数据
        导出时间：2026/9/7 16:03:24
==============================================


LC  Iter   Obj(mm)     F1 (N)        F2 (N)        F3 (N)        F4 (N)        F5 (N)        F6 (N)      maxM (N*m)    minM (N*m)     maxQ (N)      minQ (N)
 7   109    1.5710  -1.2171e+005   1.6686e+005   7.5793e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0895e+005  -2.4072e+005
 7   110    1.5710  -1.2171e+005   1.6686e+005   7.5793e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0895e+005  -2.4072e+005
 7   111    1.5710  -1.2171e+005   1.6686e+005   7.5793e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0895e+005  -2.4072e+005
 7   112    1.5710  -1.2171e+005   1.6686e+005   7.5793e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0895e+005  -2.4072e+005
 7   113    1.5710  -1.2171e+005   1.6686e+005   7.5793e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0895e+005  -2.4072e+005
 7   114    1.5710  -1.2171e+005   1.6686e+005   7.5793e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0895e+005  -2.4072e+005
 7   115    1.5710  -1.2173e+005   1.6686e+005   7.5798e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0452e+006  -4.5527e+005   5.0898e+005  -2.4074e+005
 7   116    1.5710  -1.2173e+005   1.6686e+005   7.5798e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0452e+006  -4.5527e+005   5.0898e+005  -2.4074e+005
 7   117    1.5709  -1.2172e+005   1.6686e+005   7.5795e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0896e+005  -2.4073e+005
 7   118    1.5709  -1.2172e+005   1.6686e+005   7.5796e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0452e+006  -4.5526e+005   5.0897e+005  -2.4073e+005
 7   119    1.5709  -1.2173e+005   1.6686e+005   7.5797e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0452e+006  -4.5527e+005   5.0897e+005  -2.4073e+005
 7   120    1.5709  -1.2173e+005   1.6686e+005   7.5797e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0452e+006  -4.5527e+005   5.0897e+005  -2.4073e+005
 8   121    3.7813  -2.9305e+005   5.1091e+005   7.3401e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.2931e+006  -8.7463e+005   6.5774e+005  -3.7247e+005
 8   122    3.7813  -2.9305e+005   5.1091e+005   7.3401e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.2931e+006  -8.7463e+005   6.5774e+005  -3.7247e+005
 8   123    3.6278  -3.3049e+005   5.6976e+005   7.2783e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.4428e+006  -8.8428e+005   6.7297e+005  -4.0991e+005
 8   124    3.6278  -3.3049e+005   5.6976e+005   7.2783e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.4428e+006  -8.8428e+005   6.7297e+005  -4.0991e+005
 8   125    3.4181  -3.1453e+005   4.7666e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.4303e+006  -8.6377e+005   7.0134e+005  -3.9394e+005
 8   126    3.4181  -3.1453e+005   4.7666e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.4303e+006  -8.6377e+005   7.0134e+005  -3.9394e+005
 8   127    3.4181  -3.1453e+005   4.7666e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.4303e+006  -8.6377e+005   7.0134e+005  -3.9394e+005
 8   128    3.4181  -3.1453e+005   4.7666e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.4303e+006  -8.6377e+005   7.0134e+005  -3.9394e+005
 8   129    3.4181  -3.1453e+005   4.7666e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.4303e+006  -8.6377e+005   7.0134e+005  -3.9394e+005
 8   130    3.4181  -3.1453e+005   4.7666e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.4303e+006  -8.6377e+005   7.0134e+005  -3.9394e+005
 8   131    3.4181  -3.1453e+005   4.7666e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.4303e+006  -8.6377e+005   7.0134e+005  -3.9394e+005
 8   132    3.4181  -3.1453e+005   4.7666e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.4303e+006  -8.6377e+005   7.0134e+005  -3.9394e+005
 8   133    3.4181  -3.1453e+005   4.7666e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.4303e+006  -8.6377e+005   7.0134e+005  -3.9394e+005
 8   134    3.4181  -3.1453e+005   4.7666e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.4303e+006  -8.6377e+005   7.0134e+005  -3.9394e+005
 8   135    3.4181  -3.1453e+005   4.7666e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.4303e+006  -8.6377e+005   7.0134e+005  -3.9394e+005
 8   136    3.4181  -3.1453e+005   4.7666e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.4303e+006  -8.6377e+005   7.0134e+005  -3.9394e+005
 8   137    3.4181  -3.1453e+005   4.7666e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.4303e+006  -8.6377e+005   7.0134e+005  -3.9394e+005
 8   138    3.4181  -3.1453e+005   4.7666e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.4303e+006  -8.6377e+005   7.0134e+005  -3.9394e+005
 8   139    3.4181  -3.1453e+005   4.7666e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.4303e+006  -8.6377e+005   7.0134e+005  -3.9394e+005
 8   140    3.4181  -3.1453e+005   4.7666e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.4303e+006  -8.6377e+005   7.0134e+005  -3.9394e+005
 8   141    3.4181  -3.1453e+005   4.7666e+005   8.3333e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.4303e+006  -8.6377e+005   7.0134e+005  -3.9394e+005
